1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.430574	627.201626	0.008447	1197.3
1	-1.455297	623.504937	0.030979	1.6
2	-1.458066	619.865785	0.010933	1.2
3	-0.598938	616.282728	0.007228	1.2
4	-1.112253	612.754375	0.022866	1.1
5	-1.175072	609.279381	0.032457	1.1
6	-0.534296	605.856447	0.026094	1.1
7	-1.218397	602.484317	0.046198	1.2
8	-0.682042	599.161779	0.008701	1.3
9	-0.660751	595.887656	0.028643	1.5
10	-1.327878	592.660813	0.017311	1.3
11	-0.957399	589.480151	0.022260	1.1
12	-1.198177	586.344606	0.037370	1.1
13	-0.850749	583.253145	0.007297	1.1
14	-0.603330	580.204771	0.013677	1.2
15	-0.727946	577.198517	0.034731	1.1
16	-0.616193	574.233444	0.036127	1.1
17	-0.895935	571.308645	0.030607	1.1
18	-0.429858	568.423237	0.029732	1.1
19	-0.778216	565.576365	0.023145	1.1
20	-0.847976	562.767201	0.042802	1.4
21	-0.853686	559.994938	0.060093	1.2
22	-1.103860	557.258797	0.017282	1.2
23	-0.577918	554.558018	0.011188	1.2
24	-0.665153	551.891865	0.007186	1.1
25	-0.293952	549.259621	0.010675	1.1
26	-0.474430	546.660592	0.012126	1.1
27	-0.345502	544.094102	0.011407	1.1
28	-0.549582	541.559494	0.014354	1.3
29	-1.225464	539.056129	0.018267	1.1
30	-0.331397	536.583387	0.005731	1.1
31	-0.846657	534.140663	0.013931	1.1
32	-0.503698	531.727370	0.030803	1.1
33	-1.116980	529.342935	0.043042	1.1
34	-1.236183	526.986802	0.027582	1.1
35	-0.428693	524.658430	0.024450	2.6
36	-1.000995	522.357290	0.019313	1.2
37	-0.387891	520.082868	0.012542	1.1
38	-0.544137	517.834665	0.012981	1.1
39	-1.455177	515.612193	0.028891	1.1
40	-0.330809	513.414976	0.019559	1.1
41	-0.577293	511.242551	0.015287	1.2
42	-1.344177	509.094468	0.015603	1.1
43	-1.362439	506.970285	0.024514	1.2
44	-0.462847	504.869574	0.004323	1.1
45	-1.038262	502.791916	0.048194	1.1
46	-1.286992	500.736903	0.021705	1.1
47	-0.551358	498.704137	0.009084	1.1
48	-0.717969	496.693228	0.020018	1.5
49	-0.287908	494.703798	0.011539	1.7
50	-0.485457	492.735476	0.015084	1.1
51	-0.744887	490.787900	0.012335	1.2
52	-0.496703	488.860718	0.024932	1.1
53	-1.099916	486.953585	0.018147	1.1
54	-0.781368	485.066164	0.012214	1.1
55	-1.108170	483.198126	0.050366	1.3
56	-0.598018	481.349149	0.016471	1.1
57	-1.400097	479.518920	0.012281	1.1
58	-1.075417	477.707132	0.035331	1.1
59	-0.919919	475.913485	0.020635	1.1
60	-1.014504	474.137684	0.015507	1.1
61	-0.949112	472.379445	0.040265	1.1
62	-0.500549	470.638485	0.026390	1.3
63	-0.280084	468.914531	0.007798	1.2
64	-0.601350	467.207315	0.025436	1.1
65	-0.603803	465.516573	0.019578	1.1
66	-1.087547	463.842050	0.029476	1.1
67	-1.138061	462.183494	0.021139	1.1
68	-0.749470	460.540658	0.026249	1.1
69	-1.280638	458.913303	0.019723	1.2
70	-0.639119	457.301192	0.022701	1.1
71	-1.223470	455.704096	0.008924	1.1
72	-0.899344	454.121787	0.045892	1.1
73	-0.614285	452.554045	0.016587	1.1
74	-0.975647	451.000653	0.024553	1.1
75	-0.414184	449.461399	0.006531	2.8
76	-1.431586	447.936075	0.041254	1.3
77	-0.421899	446.424477	0.012832	1.4
78	-0.807616	444.926406	0.012996	1.2
79	-1.395766	443.441666	0.066407	1.1
80	-0.523826	441.970065	0.018152	1.2
81	-0.864686	440.511415	0.026624	1.3
82	-0.805604	439.065533	0.036574	1.2
83	-0.909945	437.632238	0.049046	1.1
84	-0.316374	436.211351	0.019756	1.1
85	-0.795620	434.802701	0.020407	1.1
86	-0.403846	433.406117	0.014489	1.1
87	-0.815119	432.021430	0.032688	1.1
88	-0.393342	430.648479	0.026603	3.0
89	-0.713602	429.287101	0.022255	1.2
90	-0.681627	427.937140	0.026503	1.2
91	-0.702828	426.598440	0.022702	1.1
92	-0.877756	425.270849	0.020201	1.1
93	-0.657342	423.954220	0.048458	1.1
94	-0.625844	422.648404	0.045390	1.1
95	-1.173573	421.353259	0.017341	1.1
96	-1.302860	420.068643	0.013516	1.1
97	-0.738735	418.794419	0.015671	1.1
98	-0.392043	417.530451	0.016694	1.1
99	-0.608202	416.276604	0.032200	1.1
100	-0.809103	415.032748	0.017320	1.1
101	-1.545053	413.798754	0.023200	1.1
102	-1.369229	412.574495	0.025804	1.6
103	-1.343836	411.359849	0.013808	1.2
104	-0.747241	410.154691	0.011967	1.1
105	-0.672384	408.958904	0.020374	1.1
106	-1.197201	407.772368	0.015447	1.2
107	-1.427331	406.594968	0.035358	1.1
108	-1.168585	405.426590	0.018149	1.2
109	-1.138215	404.267122	0.032614	1.2
110	-1.225685	403.116456	0.023232	1.1
111	-1.483596	401.974481	0.017416	1.1
112	-0.796516	400.841093	0.016567	1.1
113	-1.294194	399.716187	0.046941	1.1
114	-0.563604	398.599660	0.013783	1.1
115	-0.343401	397.491411	0.005862	1.3
116	-0.577153	396.391342	0.018324	1.3
117	-0.699163	395.299353	0.033546	1.2
118	-0.447161	394.215350	0.010866	1.2
119	-0.671881	393.139238	0.018112	1.1
120	-0.996806	392.070924	0.019595	1.1
121	-1.247080	391.010316	0.025865	1.1
122	-0.587408	389.957325	0.029404	1.1
123	-1.079315	388.911862	0.014861	1.4
124	-1.178551	387.873839	0.035586	1.2
125	-0.307346	386.843173	0.004703	1.1
126	-1.085427	385.819777	0.009397	1.1
127	-0.735095	384.803569	0.021378	1.1
128	-1.014335	383.794468	0.013502	1.1
129	-1.019486	382.792393	0.041978	2.1
130	-0.328520	381.797264	0.021782	1.2
131	-1.122242	380.809005	0.015175	1.2
132	-0.423819	379.827537	0.004663	1.3
133	-1.072129	378.852786	0.007997	1.1
134	-1.583530	377.884678	0.076336	1.1
135	-1.264143	376.923138	0.009212	1.1
136	-0.360991	375.968095	0.011213	1.2
137	-1.044401	375.019479	0.021609	1.1
138	-1.462592	374.077218	0.011043	1.2
139	-0.835359	373.141244	0.006877	1.1
140	-0.632890	372.211489	0.007591	1.1
141	-1.407210	371.287887	0.018516	1.1
142	-0.332687	370.370370	0.025290	1.4
143	-0.379102	369.458876	0.010596	1.2
144	-0.317333	368.553338	0.013702	1.2
145	-1.013510	367.653696	0.025704	1.2
146	-0.234241	366.759885	0.009196	1.2
147	-0.866619	365.871846	0.032053	1.2
148	-1.117360	364.989518	0.011612	1.2
149	-1.214852	364.112841	0.012035	1.2
150	-1.578182	363.241757	0.015221	1.7
151	-1.271058	362.376208	0.054071	1.3
