1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-0.720467	369.458876	0.007844	3.2
144	-0.719377	368.553338	0.008000	2.7
145	-0.831845	367.653696	0.031408	3.1
146	-0.564494	366.759885	0.008748	3.0
147	-0.856215	365.871846	0.011880	3.1
148	-0.635672	364.989518	0.016370	2.6
149	-0.672195	364.112841	0.019257	2.4
150	-0.905045	363.241757	0.026561	2.4
151	-0.395829	362.376208	0.002748	2.6
152	-0.843615	361.516137	0.029345	2.5
153	-0.333928	360.661488	0.002825	2.4
154	-0.961004	359.812206	0.013423	2.3
155	-0.550918	358.968236	0.007027	2.3
156	-0.603536	358.129524	0.005733	2.3
157	-0.912275	357.296018	0.038245	2.4
158	-0.386382	356.467665	0.005620	2.4
159	-0.467611	355.644414	0.004555	2.4
160	-0.970085	354.826213	0.015642	2.3
161	-0.950680	354.013012	0.029710	2.3
162	-0.894929	353.204763	0.033614	2.3
163	-0.601736	352.401415	0.025781	2.4
164	-0.374850	351.602922	0.016578	2.4
165	-0.691340	350.809235	0.007018	2.4
166	-0.911839	350.020308	0.011097	2.3
167	-0.481297	349.236095	0.007776	2.4
168	-0.714161	348.456550	0.033304	2.4
169	-0.615502	347.681627	0.007906	2.3
170	-0.632864	346.911283	0.016642	2.3
171	-0.344884	346.145474	0.004960	2.3
172	-1.045252	345.384157	0.039935	2.4
173	-0.559256	344.627288	0.009384	2.4
174	-0.624088	343.874826	0.005971	2.4
175	-0.595556	343.126729	0.009213	2.3
176	-0.773350	342.382957	0.012343	2.4
177	-0.772337	341.643469	0.015683	2.4
178	-0.927280	340.908224	0.023655	2.3
179	-0.780383	340.177184	0.014486	2.3
180	-0.719061	339.450309	0.008734	2.3
181	-0.849746	338.727561	0.034709	2.3
182	-0.515353	338.008902	0.004960	2.3
183	-0.631836	337.294295	0.016317	2.4
184	-0.620022	336.583703	0.004585	2.4
185	-0.738022	335.877089	0.011163	2.3
186	-0.549581	335.174416	0.018248	2.6
187	-0.407549	334.475651	0.005224	2.5
188	-0.454341	333.780756	0.007320	2.4
189	-1.008103	333.089698	0.032820	2.4
190	-0.725163	332.402443	0.007557	2.3
191	-0.432886	331.718955	0.007320	2.3
192	-1.063778	331.039203	0.049389	2.3
193	-0.370409	330.363153	0.011675	2.4
194	-0.707391	329.690771	0.011269	2.4
195	-0.579640	329.022027	0.007636	2.3
196	-0.633680	328.356888	0.008451	2.3
197	-0.748013	327.695322	0.019000	2.3
198	-0.644942	327.037299	0.010698	2.3
199	-0.395795	326.382787	0.004432	2.4
200	-0.945358	325.731758	0.012217	2.4
201	-1.025164	325.084179	0.034882	2.5
202	-0.539864	324.440023	0.008723	2.5
203	-0.510504	323.799258	0.014036	2.4
204	-1.011788	323.161858	0.014185	2.3
205	-0.406646	322.527792	0.004597	2.3
206	-0.761779	321.897034	0.018130	2.3
207	-0.818205	321.269554	0.015828	2.4
208	-0.499145	320.645325	0.007150	2.4
209	-0.783587	320.024320	0.007881	2.4
210	-0.551948	319.406512	0.008596	2.4
211	-0.590618	318.791875	0.007666	2.4
212	-0.645874	318.180381	0.007776	2.4
213	-0.936358	317.572005	0.029130	2.4
214	-0.412031	316.966721	0.006299	2.4
215	-0.582072	316.364504	0.006702	2.4
216	-0.688345	315.765329	0.007476	2.4
217	-0.765188	315.169170	0.021990	2.4
218	-0.491347	314.576003	0.005386	2.4
219	-0.099104	313.985804	0.002606	2.4
220	-0.897864	313.398548	0.012153	2.4
221	-0.550656	312.814213	0.009375	2.4
