1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.685222	0.000000	2.952862	0.057460	1287.0
1	-0.730449	0.000000	2.952862	0.049395	0.9
2	-0.733147	0.000000	2.952862	0.053031	0.9
3	-0.749502	0.000000	2.952862	0.060297	0.9
4	-0.740287	0.000000	2.952862	0.069273	0.8
5	-0.751641	0.000000	2.952862	0.057839	0.8
6	-0.813749	0.000000	2.952862	0.070965	0.8
7	-0.810215	0.000000	2.952862	0.066112	0.9
8	-0.840261	0.000000	2.952862	0.062916	0.9
9	-0.862088	0.000000	2.952862	0.062687	0.8
10	-0.840495	0.000000	2.952862	0.057583	0.8
11	-0.829651	0.000000	2.952862	0.069548	0.8
12	-0.845041	0.000000	2.952862	0.062942	0.8
13	-0.835377	0.000000	2.952862	0.052377	0.9
14	-0.891127	0.000000	2.952862	0.061865	1.0
15	-0.896672	0.000000	2.952862	0.049482	0.9
16	-0.884535	0.000000	2.952862	0.043793	0.9
17	-0.922637	0.000000	2.952862	0.039289	0.8
18	-0.952570	0.000000	2.952862	0.038172	0.8
19	-0.917663	0.000000	2.952862	0.040245	0.9
20	-0.919533	0.000000	2.952862	0.043725	0.8
21	-0.926970	0.000000	2.952862	0.035390	0.9
22	-0.928247	0.000000	2.952862	0.037902	0.9
23	-0.893304	0.000000	2.952862	0.030834	0.8
24	-0.905726	0.000000	2.952862	0.030541	0.8
25	-0.913258	0.000000	2.952862	0.032833	0.8
26	-0.911485	0.000000	2.952862	0.029385	0.9
27	-0.925515	0.000000	2.952862	0.027434	0.9
28	-0.956914	0.000000	2.952862	0.030393	0.8
29	-0.923168	0.000000	2.952862	0.024895	0.9
30	-0.928379	0.000000	2.952862	0.028781	0.8
31	-0.957651	0.000000	2.952862	0.029887	0.8
32	-0.925369	0.000000	2.952862	0.027091	0.9
33	-0.962301	0.000000	2.952862	0.033096	0.8
34	-0.948662	0.000000	2.952862	0.026243	1.4
35	-0.950439	0.000000	2.952862	0.025129	0.9
36	-0.916440	0.000000	2.952862	0.032680	0.8
37	-0.941599	0.000000	2.952862	0.026893	0.8
38	-0.941736	0.000000	2.952862	0.024518	0.9
39	-0.949249	0.000000	2.952862	0.023079	0.8
40	-0.940919	0.000000	2.952862	0.022246	0.8
41	-0.893059	0.000000	2.952862	0.023031	0.8
42	-0.940840	0.000000	2.952862	0.025800	0.8
43	-0.941352	0.000000	2.952862	0.020688	0.8
44	-0.944986	0.000000	2.952862	0.023121	0.9
45	-0.975042	0.000000	2.952862	0.026496	0.8
46	-0.946492	0.000000	2.952862	0.029374	0.8
47	-0.971388	0.000000	2.952862	0.023536	0.8
48	-0.957532	0.000000	2.952862	0.035201	0.8
49	-0.952243	0.000000	2.952862	0.036889	0.8
50	-0.963824	0.000000	2.952862	0.026490	0.8
51	-0.961458	1.000000	2.818641	0.022871	0.9
52	-0.960410	0.929670	2.827681	0.019110	0.9
53	-0.958813	0.859340	2.836779	0.023161	1.5
54	-0.958834	0.789010	2.845935	0.029932	0.8
55	-0.964471	0.718680	2.855151	0.026403	0.8
56	-0.960594	1.718680	2.729477	0.023187	0.8
57	-0.946866	1.648351	2.737952	0.023789	0.8
58	-0.967513	1.578021	2.746481	0.022345	0.8
59	-0.963176	1.507755	2.755055	0.024766	0.8
60	-0.980389	1.437425	2.763691	0.020291	0.8
61	-0.939541	1.367095	2.772381	0.018061	0.8
62	-0.975059	1.296765	2.781126	0.023503	0.8
63	-0.964945	1.226436	2.789926	0.024362	0.8
64	-0.963709	1.156106	2.798782	0.023314	0.9
65	-0.963532	1.085776	2.807694	0.037043	0.8
66	-0.963278	2.085776	2.686074	0.025474	0.8
67	-0.958783	2.015446	2.694282	0.018058	0.8
68	-0.969768	1.945125	2.702540	0.026562	0.8
69	-0.951400	1.874810	2.710847	0.022733	1.1
70	-0.971944	2.237722	2.668511	0.024600	0.9
71	-0.960148	2.167392	2.676611	0.019259	0.9
72	-0.977396	2.097062	2.684762	0.017426	0.8
73	-0.943645	2.032405	2.692298	0.031849	0.8
74	-0.979472	2.979971	2.585913	0.023498	0.8
75	-0.965485	2.909641	2.593519	0.015225	0.8
76	-0.956034	2.839311	2.601170	0.023380	0.9
77	-0.997349	2.768981	2.608867	0.026744	0.8
78	-0.955085	2.698651	2.616609	0.017616	0.8
79	-0.988037	3.698651	2.510668	0.022056	0.8
80	-0.972469	4.698055	2.413027	0.022877	0.8
81	-0.988965	4.627725	2.419649	0.019538	0.8
82	-0.916867	5.627724	2.328780	0.024371	0.9
83	-0.975858	6.627724	2.244488	0.019144	0.8
84	-0.987296	6.557394	2.250217	0.021040	0.8
85	-0.980470	6.487064	2.255974	0.028517	0.8
86	-0.966418	7.486924	2.176792	0.015734	0.9
87	-0.952868	8.486923	2.102970	0.020993	0.8
88	-0.959186	9.483678	2.034207	0.024050	0.9
89	-0.974986	10.412884	1.974034	0.017410	0.9
90	-0.947696	11.412868	1.913132	0.025622	0.8
91	-0.964818	12.412795	1.855879	0.023041	0.9
92	-0.952934	13.294264	1.808177	0.018703	0.9
93	-0.983450	13.223934	1.811893	0.019650	0.8
94	-0.983930	14.193085	1.761997	0.025898	0.8
95	-0.972470	14.122755	1.765525	0.012942	0.8
96	-1.006843	14.052425	1.769068	0.019206	0.8
97	-0.920293	13.982105	1.772624	0.023908	0.9
98	-0.958136	14.982100	1.723360	0.028157	0.9
99	-0.984975	15.982100	1.676760	0.034617	0.8
100	-1.006034	16.982100	1.632614	0.015109	0.8
101	-0.963546	17.980538	1.590797	0.027000	0.8
102	-0.992479	18.023228	1.589056	0.016382	0.9
103	-0.970408	19.023228	1.549353	0.019909	0.8
104	-0.979647	18.952898	1.552080	0.018939	0.9
105	-0.974450	19.233727	1.541247	0.026981	0.8
106	-0.968026	20.233714	1.503869	0.023904	0.8
107	-0.983871	21.233714	1.468261	0.022196	0.8
108	-0.953525	21.287880	1.466380	0.025334	0.9
