1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.806477	627.201626	0.014239	1165.5
1	-0.889034	623.504937	0.057537	1.4
2	-0.852576	619.865785	0.025441	1.2
3	-0.939318	616.282728	0.043820	1.4
4	-0.879511	612.754375	0.039582	1.3
5	-0.554112	609.279381	0.010612	1.5
6	-0.330202	605.856447	0.006304	1.2
7	-0.632694	602.484317	0.012105	1.2
8	-0.874822	599.161779	0.049760	1.2
9	-0.278699	595.887656	0.007897	1.2
10	-0.434957	592.660813	0.015578	1.1
11	-0.785698	589.480151	0.042782	1.2
12	-0.992441	586.344606	0.060087	1.2
13	-0.795915	583.253145	0.015715	1.1
14	-1.009397	580.204771	0.059174	1.1
15	-0.498359	577.198517	0.012216	1.1
16	-0.651601	574.233444	0.019437	1.2
17	-0.438431	571.308645	0.005607	1.2
18	-0.383758	568.423237	0.005965	1.3
19	-0.440575	565.576365	0.020248	1.4
20	-0.512790	562.767201	0.016192	1.2
21	-0.799977	559.994938	0.023641	1.2
22	-0.452012	557.258797	0.010957	1.2
23	-1.054870	554.558018	0.043694	1.1
24	-0.553009	551.891865	0.026601	1.1
25	-0.463653	549.259621	0.010927	1.1
26	-0.701074	546.660592	0.013994	1.2
27	-0.610778	544.094102	0.020521	1.1
28	-1.103816	541.559494	0.028766	1.1
29	-0.344545	539.056129	0.011185	1.2
30	-0.560012	536.583387	0.015739	1.1
31	-0.539345	534.140663	0.015165	2.1
32	-0.565730	531.727370	0.013351	1.4
33	-0.587024	529.342935	0.024446	1.2
34	-0.913557	526.986802	0.037535	1.2
35	-0.479418	524.658430	0.018286	1.2
36	-0.057612	522.357290	0.002566	1.1
37	-0.171287	520.082868	0.004684	1.1
38	-0.544665	517.834665	0.030880	1.1
39	-0.659276	515.612193	0.027695	1.2
40	-0.698928	513.414976	0.018876	1.1
41	-1.028107	511.242551	0.043993	1.2
42	-0.600135	509.094468	0.037075	1.1
43	-0.802321	506.970285	0.014423	1.1
44	-0.674930	504.869574	0.026460	2.2
45	-0.895746	502.791916	0.049463	1.4
46	-0.494113	500.736903	0.011590	1.2
47	-0.368804	498.704137	0.006163	1.2
48	-0.558538	496.693228	0.016602	1.2
49	-0.920019	494.703798	0.026036	1.1
50	-0.325866	492.735476	0.008248	1.2
51	-0.305055	490.787900	0.009673	1.2
52	-0.394109	488.860718	0.007596	1.2
53	-0.557925	486.953585	0.010036	1.2
54	-0.718703	485.066164	0.033297	1.2
55	-0.450481	483.198126	0.016916	1.1
56	-1.238714	481.349149	0.042524	1.2
57	-0.551915	479.518920	0.013809	1.5
58	-0.507030	477.707132	0.032756	1.3
59	-0.269992	475.913485	0.011744	1.4
60	-0.490487	474.137684	0.013220	1.2
61	-0.382383	472.379445	0.008041	1.2
62	-0.000174	470.638485	0.000064	1.2
63	-0.872764	468.914531	0.034485	1.2
64	-0.729760	467.207315	0.017994	1.2
65	-0.408359	465.516573	0.029883	1.1
66	-0.763830	463.842050	0.021848	1.2
67	-0.560423	462.183494	0.009823	1.2
68	-0.702919	460.540658	0.034490	1.3
69	-0.967773	458.913303	0.033184	1.1
70	-0.680905	457.301192	0.028769	2.9
71	-0.576153	455.704096	0.027995	1.3
72	-0.524989	454.121787	0.029098	1.2
73	-0.781427	452.554045	0.034810	1.2
74	-0.392139	451.000653	0.004671	1.2
75	-0.549204	449.461399	0.014471	1.2
76	-0.674255	447.936075	0.014570	1.2
77	-0.488253	446.424477	0.018027	1.2
78	-0.644647	444.926406	0.012896	1.1
79	-0.656224	443.441666	0.023511	1.2
80	-0.948773	441.970065	0.031073	1.2
81	-0.932377	440.511415	0.033968	1.2
82	-0.897234	439.065533	0.032142	1.1
83	-0.727522	437.632238	0.017910	1.7
84	-0.596078	436.211351	0.016979	1.3
85	-0.932424	434.802701	0.030386	1.3
86	-0.724010	433.406117	0.007462	1.2
87	-0.851275	432.021430	0.018299	1.1
88	-0.611677	430.648479	0.022776	1.2
89	-0.935965	429.287101	0.040101	1.1
90	-0.422769	427.937140	0.014809	1.1
91	-0.918151	426.598440	0.033721	1.2
92	-0.699507	425.270849	0.031569	1.2
93	-0.043403	423.954220	0.000645	1.2
94	-0.607928	422.648404	0.021506	1.2
95	-0.163521	421.353259	0.008972	1.2
96	-0.816389	420.068643	0.018212	1.2
97	-0.052635	418.794419	0.000872	3.2
98	-0.587278	417.530451	0.030624	1.2
99	-0.739764	416.276604	0.020308	1.2
100	-0.421258	415.032748	0.020490	1.2
101	-0.574574	413.798754	0.021225	1.1
102	-0.825456	412.574495	0.038387	1.2
103	-0.140334	411.359849	0.003369	1.2
104	-0.358323	410.154691	0.011957	1.2
105	-0.595124	408.958904	0.007078	1.3
106	-0.580480	407.772368	0.046561	1.1
107	-0.655606	406.594968	0.020246	1.2
108	-0.534061	405.426590	0.022647	1.1
109	-0.669987	404.267122	0.048538	1.2
110	-0.333267	403.116456	0.022196	1.2
111	-0.989990	401.974481	0.028313	1.3
112	-0.785983	400.841093	0.028343	1.2
113	-0.855538	399.716187	0.021030	1.2
114	-0.464270	398.599660	0.036181	1.2
115	-0.687821	397.491411	0.041761	1.1
116	-0.728738	396.391342	0.021665	1.1
117	-0.733669	395.299353	0.016733	1.2
118	-0.845190	394.215350	0.029461	1.2
119	-0.860732	393.139238	0.047981	1.2
120	-0.506604	392.070924	0.024755	1.1
121	-0.682613	391.010316	0.009531	1.1
122	-0.815131	389.957325	0.015995	1.1
123	-0.463981	388.911862	0.011875	1.2
124	-0.577094	387.873839	0.008464	1.2
125	-0.504269	386.843173	0.025481	1.5
126	-0.822266	385.819777	0.035044	1.2
127	-0.568373	384.803569	0.021196	1.2
128	-1.000233	383.794468	0.032070	1.2
129	-0.730875	382.792393	0.027927	1.2
130	-0.782014	381.797264	0.016977	1.2
131	-0.871718	380.809005	0.029746	1.2
132	-1.094820	379.827537	0.049529	1.2
133	-0.735033	378.852786	0.023513	1.1
134	-0.806118	377.884678	0.016928	1.2
135	-0.535086	376.923138	0.012772	1.1
136	-0.906819	375.968095	0.028133	2.0
137	-1.064914	375.019479	0.041715	1.2
138	-0.743965	374.077218	0.024236	1.2
139	-0.907877	373.141244	0.067611	1.2
140	-0.791692	372.211489	0.024815	1.2
141	-0.308899	371.287887	0.010974	1.2
142	-0.638898	370.370370	0.011619	1.1
143	-1.012451	369.458876	0.032225	1.1
144	-0.810547	368.553338	0.032319	1.1
145	-1.102990	367.653696	0.024926	1.1
146	-0.666945	366.759885	0.033188	1.2
147	-0.094727	365.871846	0.003987	1.8
148	-0.926710	364.989518	0.052707	1.2
149	-0.898660	364.112841	0.017213	1.2
150	-0.686999	363.241757	0.013125	1.4
151	-0.236546	362.376208	0.005598	1.5
152	-0.936703	361.516137	0.032485	1.2
153	-0.628560	360.661488	0.011199	1.3
154	-0.498914	359.812206	0.005143	1.2
155	-0.796914	358.968236	0.030001	1.3
156	-0.364711	358.129524	0.008576	1.2
157	-0.614946	357.296018	0.040618	1.1
158	-0.905588	356.467665	0.014088	1.2
159	-0.639203	355.644414	0.005158	1.2
160	-0.366905	354.826213	0.004956	1.2
161	-0.634526	354.013012	0.029406	1.2
162	-0.015490	353.204763	0.002026	1.1
163	-0.950698	352.401415	0.027909	1.5
164	-0.444902	351.602922	0.026394	1.8
165	-0.597698	350.809235	0.010922	1.2
166	-0.490190	350.020308	0.006307	1.2
167	-0.667225	349.236095	0.018637	1.1
168	-0.452093	348.456550	0.016949	1.1
169	-0.677167	347.681627	0.039101	1.2
170	-0.717887	346.911283	0.042104	1.1
171	-1.143819	346.145474	0.034953	1.1
172	-0.581256	345.384157	0.006693	1.1
173	-0.764281	344.627288	0.024119	1.1
174	-0.573307	343.874826	0.006172	1.3
175	-0.757059	343.126729	0.013006	1.1
176	-0.798677	342.382957	0.037121	1.2
177	-0.788703	341.643469	0.048288	1.1
178	-0.583649	340.908224	0.015548	1.1
179	-0.663237	340.177184	0.007758	1.1
180	-0.391136	339.450309	0.018024	1.1
181	-0.660102	338.727561	0.007538	1.2
182	-0.550752	338.008902	0.024413	1.1
183	-0.849953	337.294295	0.030655	1.2
184	-0.573969	336.583703	0.019545	1.1
185	-0.470840	335.877089	0.005034	1.2
186	-0.536316	335.174416	0.007505	1.2
187	-0.706832	334.475651	0.028992	1.2
188	-1.160089	333.780756	0.026753	1.2
189	-0.921037	333.089698	0.025125	1.2
190	-0.679983	332.402443	0.018535	1.1
191	-0.346756	331.718955	0.005610	1.1
192	-0.705418	331.039203	0.010147	1.2
193	-0.812182	330.363153	0.033173	1.2
194	-0.687186	329.690771	0.011413	1.1
195	-0.998111	329.022027	0.046759	1.1
196	-0.906755	328.356888	0.029475	1.1
197	-1.007811	327.695322	0.040998	1.1
198	-0.914336	327.037299	0.048411	1.2
199	-0.865000	326.382787	0.022506	1.2
200	-0.856605	325.731758	0.021390	1.2
201	-0.579250	325.084179	0.005287	1.1
202	-0.470898	324.440023	0.012921	1.2
203	-0.764385	323.799258	0.041019	1.1
204	-0.678781	323.161858	0.013738	1.1
205	-0.212094	322.527792	0.007671	1.1
206	-0.591953	321.897034	0.029337	1.2
207	-0.627777	321.269554	0.011923	1.1
208	-0.750042	320.645325	0.018168	1.1
209	-0.614664	320.024320	0.033436	1.2
210	-0.608213	319.406512	0.009242	1.2
211	-0.521761	318.791875	0.025611	1.1
212	-1.100462	318.180381	0.047685	1.2
213	-1.056129	317.572005	0.036030	1.2
214	-0.415262	316.966721	0.020201	1.1
215	-0.965403	316.364504	0.023701	1.1
216	-0.782288	315.765329	0.016725	1.2
217	-0.720902	315.169170	0.037561	1.1
218	-0.789965	314.576003	0.034989	1.1
219	-0.805340	313.985804	0.042826	1.1
220	-0.930526	313.398548	0.023500	1.1
221	-0.595833	312.814213	0.018768	1.1
222	-0.594428	312.232773	0.018025	1.2
223	-0.888027	311.654207	0.016088	1.1
224	-0.902454	311.078491	0.045203	1.1
225	-0.251493	310.505602	0.007687	1.1
226	-0.934980	309.935518	0.053452	1.1
227	-0.533175	309.368217	0.006855	1.1
228	-0.603924	308.803676	0.053556	1.1
229	-0.841563	308.241874	0.038981	1.1
230	-0.639418	307.682789	0.010776	1.2
231	-0.891780	307.126400	0.025929	1.1
232	-0.727257	306.572687	0.013568	1.1
233	-0.625417	306.021627	0.038226	1.1
234	-0.696563	305.473201	0.038534	1.2
235	-1.052675	304.927388	0.027556	1.1
236	-0.466241	304.384168	0.005580	1.2
237	-0.283647	303.843521	0.017482	1.1
238	-1.074046	303.305427	0.047684	1.1
239	-0.716540	302.769867	0.033035	1.1
240	-0.578556	302.236821	0.014161	1.3
241	-1.150224	301.706270	0.050333	1.1
242	-0.686632	301.178196	0.028879	1.2
243	-0.451707	300.652580	0.018562	1.2
244	-0.593237	300.129402	0.019166	1.1
245	-0.775231	299.608645	0.019341	1.1
246	-0.272809	299.090291	0.006131	1.2
247	-0.695948	298.574321	0.032963	1.2
248	-1.086745	298.060718	0.049612	1.1
249	-0.601090	297.549465	0.032659	1.1
250	-0.846468	297.040543	0.038911	1.2
251	-0.881780	296.533936	0.045449	1.2
252	-0.705850	296.029626	0.010938	1.1
253	-0.661260	295.527597	0.012854	1.1
254	-0.960013	295.027832	0.030960	1.2
255	-0.757836	294.530315	0.015705	1.1
256	-0.748541	294.035028	0.012222	1.1
257	-0.694116	293.541956	0.036703	1.2
258	-0.581498	293.051083	0.008306	1.2
259	-0.774484	292.562393	0.014707	1.2
