1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.879353	627.201626	0.064735	1231.9
1	-0.422299	623.504937	0.021824	1.2
2	-0.989166	619.865785	0.036889	1.7
3	-0.625020	616.282728	0.014998	1.2
4	-0.813476	612.754375	0.063995	1.2
5	-0.248429	609.279381	0.017233	1.1
6	-0.255726	605.856447	0.007891	1.1
7	-0.698641	602.484317	0.023666	1.1
8	-0.556731	599.161779	0.044789	1.1
9	-0.526956	595.887656	0.017770	1.1
10	-0.701285	592.660813	0.034497	1.2
11	-0.566348	589.480151	0.039514	1.1
12	-0.558513	586.344606	0.013519	1.1
13	-0.451351	583.253145	0.029269	1.1
14	-0.339460	580.204771	0.019230	2.5
15	-0.679029	577.198517	0.015117	1.2
16	-0.328215	574.233444	0.012752	1.1
17	-0.691384	571.308645	0.037662	1.1
18	-0.538337	568.423237	0.016113	1.1
19	-1.079656	565.576365	0.052231	1.1
20	-0.992213	562.767201	0.026611	1.1
21	-0.589142	559.994938	0.019885	1.4
22	-0.563259	557.258797	0.011999	1.2
23	-0.559339	554.558018	0.013933	1.1
24	-0.834130	551.891865	0.033227	1.1
25	-0.390939	549.259621	0.029810	1.1
26	-0.839229	546.660592	0.014216	1.4
27	-0.355905	544.094102	0.022684	1.4
28	-0.428240	541.559494	0.013841	1.2
29	-1.062160	539.056129	0.055635	1.2
30	-0.542374	536.583387	0.022896	1.1
31	-0.458477	534.140663	0.025328	1.1
32	-0.663681	531.727370	0.006790	1.1
33	-0.703187	529.342935	0.039155	1.1
34	-0.702974	526.986802	0.028561	1.1
35	-0.671414	524.658430	0.044777	1.1
36	-0.677101	522.357290	0.032635	1.1
37	-0.280237	520.082868	0.016546	1.1
38	-0.518197	517.834665	0.031471	1.1
39	-1.259398	515.612193	0.025098	1.1
40	-0.280948	513.414976	0.001990	1.1
41	-0.297860	511.242551	0.006600	1.2
42	-0.418112	509.094468	0.027620	1.2
43	-1.082902	506.970285	0.019360	1.2
44	-0.462488	504.869574	0.021877	1.1
45	-0.759520	502.791916	0.036613	1.2
46	-0.607862	500.736903	0.013752	1.1
47	-0.600180	498.704137	0.042116	1.1
48	-0.785140	496.693228	0.039635	1.1
49	-0.766457	494.703798	0.035364	1.2
50	-0.963909	492.735476	0.034079	1.1
51	-1.056664	490.787900	0.016664	1.2
52	-0.905386	488.860718	0.027867	1.1
53	-0.665924	486.953585	0.024770	1.1
54	-1.104966	485.066164	0.065051	1.1
55	-0.669333	483.198126	0.028847	2.8
56	-0.873821	481.349149	0.059029	1.2
57	-0.971508	479.518920	0.038657	1.1
58	-0.414828	477.707132	0.026354	1.1
59	-0.569579	475.913485	0.033125	1.1
60	-0.395197	474.137684	0.005858	1.1
61	-0.441996	472.379445	0.032956	1.1
62	-0.294374	470.638485	0.002767	1.1
63	-0.660655	468.914531	0.019414	1.1
64	-0.428213	467.207315	0.014489	1.1
65	-0.363043	465.516573	0.029709	1.1
66	-0.464969	463.842050	0.016025	1.1
67	-0.519208	462.183494	0.042403	1.1
68	-0.218231	460.540658	0.019652	1.7
69	-0.871606	458.913303	0.014000	1.2
70	-0.732522	457.301192	0.032625	1.2
71	-0.474843	455.704096	0.011031	1.1
72	-0.984585	454.121787	0.034185	1.1
73	-0.584018	452.554045	0.016923	1.1
74	-0.963486	451.000653	0.040153	1.1
75	-0.413312	449.461399	0.028646	1.1
76	-0.832267	447.936075	0.026729	1.2
77	-0.296029	446.424477	0.026329	1.2
78	-1.242168	444.926406	0.066691	1.1
79	-0.784136	443.441666	0.042454	1.1
80	-0.450555	441.970065	0.028010	1.1
81	-0.935777	440.511415	0.019505	1.1
82	-0.839229	439.065533	0.039230	1.8
83	-0.314714	437.632238	0.004917	1.2
84	-0.776050	436.211351	0.008339	1.2
85	-0.357126	434.802701	0.033487	1.1
86	-0.574503	433.406117	0.025003	1.1
87	-0.611950	432.021430	0.018630	1.1
88	-0.784435	430.648479	0.058353	1.1
89	-0.587327	429.287101	0.018804	1.1
90	-0.675020	427.937140	0.026832	1.2
91	-0.465267	426.598440	0.011024	1.1
92	-0.902253	425.270849	0.027723	1.1
93	-0.772093	423.954220	0.039256	1.1
94	-0.705271	422.648404	0.033709	1.1
95	-0.309390	421.353259	0.022045	1.1
96	-0.806119	420.068643	0.011360	1.3
97	-0.469812	418.794419	0.015023	1.2
98	-0.728007	417.530451	0.025430	1.2
99	-0.870175	416.276604	0.040002	1.1
100	-0.645601	415.032748	0.027652	1.1
101	-1.182132	413.798754	0.059305	1.1
102	-0.529758	412.574495	0.037188	1.1
103	-0.995243	411.359849	0.042603	1.1
104	-0.675405	410.154691	0.017289	1.1
105	-0.705428	408.958904	0.023424	1.1
106	-0.709763	407.772368	0.024338	1.1
107	-0.707572	406.594968	0.024426	1.2
108	-0.791039	405.426590	0.021722	1.1
109	-1.056927	404.267122	0.037742	1.1
110	-0.855453	403.116456	0.021030	1.1
111	-0.795792	401.974481	0.037327	2.7
112	-0.744124	400.841093	0.026113	1.2
113	-0.715035	399.716187	0.042560	1.1
114	-0.909798	398.599660	0.062680	1.1
115	-0.525591	397.491411	0.022223	1.1
116	-0.376707	396.391342	0.035400	1.1
117	-0.875094	395.299353	0.014944	1.1
118	-0.347555	394.215350	0.028696	1.1
119	-0.519424	393.139238	0.023910	1.1
120	-0.438061	392.070924	0.020055	1.1
121	-0.905774	391.010316	0.049582	1.1
122	-0.606034	389.957325	0.015689	1.1
123	-0.186854	388.911862	0.010288	1.1
124	-0.923823	387.873839	0.040974	1.5
125	-0.951209	386.843173	0.015150	1.2
126	-0.685747	385.819777	0.013107	1.2
127	-0.675965	384.803569	0.032674	1.1
128	-0.801814	383.794468	0.025053	1.1
129	-0.852834	382.792393	0.015212	1.1
130	-1.181115	381.797264	0.028522	1.1
131	-1.188206	380.809005	0.020915	1.1
132	-0.915390	379.827537	0.046715	1.1
133	-0.609426	378.852786	0.018456	1.1
134	-0.755761	377.884678	0.006728	1.2
135	-0.747111	376.923138	0.012259	1.1
136	-0.840500	375.968095	0.020868	1.1
137	-0.761207	375.019479	0.009521	1.1
138	-0.807407	374.077218	0.015542	1.1
139	-0.432621	373.141244	0.023806	1.5
140	-1.071895	372.211489	0.037604	1.2
141	-0.689686	371.287887	0.014990	1.1
142	-1.132450	370.370370	0.020797	1.1
143	-0.473394	369.458876	0.012871	1.1
144	-0.886679	368.553338	0.014330	1.1
145	-0.564877	367.653696	0.034813	1.1
146	-0.940779	366.759885	0.008390	1.2
147	-0.494101	365.871846	0.020394	1.1
148	-1.022362	364.989518	0.056694	1.1
149	-0.504643	364.112841	0.033473	1.1
150	-0.849612	363.241757	0.033345	1.1
151	-0.925899	362.376208	0.055475	1.1
152	-0.646373	361.516137	0.034503	1.4
153	-0.685788	360.661488	0.034381	1.6
154	-0.681255	359.812206	0.048705	1.3
155	-0.537453	358.968236	0.028627	1.1
156	-0.670135	358.129524	0.056106	1.1
157	-0.622423	357.296018	0.018330	1.1
158	-0.688785	356.467665	0.018559	1.1
159	-0.610248	355.644414	0.015982	1.1
160	-0.654663	354.826213	0.020107	1.1
161	-0.625748	354.013012	0.026259	1.1
162	-1.058761	353.204763	0.036516	1.2
163	-0.829279	352.401415	0.031327	1.1
164	-0.818800	351.602922	0.029026	1.1
165	-0.763909	350.809235	0.014174	1.1
166	-0.633689	350.020308	0.052012	1.4
167	-0.762775	349.236095	0.011938	1.2
168	-0.927418	348.456550	0.040198	1.1
169	-0.810625	347.681627	0.044457	1.1
170	-0.324716	346.911283	0.014693	1.2
171	-0.564596	346.145474	0.020441	1.1
172	-1.102070	345.384157	0.061769	1.2
173	-0.960093	344.627288	0.034589	1.2
174	-0.984592	343.874826	0.053591	1.1
175	-0.615729	343.126729	0.006648	1.1
176	-0.366381	342.382957	0.009063	1.1
177	-0.748838	341.643469	0.016195	1.2
178	-0.770175	340.908224	0.012339	1.1
179	-1.121730	340.177184	0.036633	1.1
180	-0.758441	339.450309	0.014321	1.1
181	-0.644359	338.727561	0.031837	1.2
182	-0.760499	338.008902	0.050208	1.1
183	-1.173512	337.294295	0.045460	1.1
184	-0.622006	336.583703	0.016102	1.1
185	-0.755413	335.877089	0.064192	1.1
186	-0.683641	335.174416	0.008770	1.1
