1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.733264	0.000000	2.168161	0.034918	1254.7
1	-0.721587	0.000000	2.168161	0.028677	0.9
2	-0.761762	0.998234	2.069775	0.040645	0.9
3	-0.762718	1.838953	1.993585	0.049843	0.8
4	-0.741309	2.829235	1.910736	0.031607	0.8
5	-0.707958	2.309424	1.953347	0.034672	0.9
6	-0.763553	2.495890	1.937845	0.033802	1.0
7	-0.737008	3.495863	1.858738	0.054774	0.9
8	-0.740551	4.495863	1.785834	0.047505	0.8
9	-0.777657	5.495863	1.718434	0.043773	0.8
10	-0.761656	6.495863	1.655936	0.047238	0.8
11	-0.734707	7.495863	1.597824	0.039953	0.8
12	-0.742968	8.495860	1.543653	0.042068	0.9
13	-0.722141	9.429520	1.496290	0.031766	0.8
14	-0.766368	10.221240	1.458346	0.040646	0.8
15	-0.735990	9.698943	1.483158	0.044333	0.8
16	-0.759845	10.693981	1.436594	0.051469	0.8
17	-0.729561	11.693980	1.392654	0.043302	0.9
18	-0.757772	12.665580	1.352461	0.038415	0.8
19	-0.758829	13.665554	1.313448	0.039508	0.8
20	-0.733253	14.659758	1.276828	0.042156	0.8
21	-0.737017	15.406583	1.250636	0.050926	0.8
22	-0.760341	16.406583	1.217202	0.059163	0.8
23	-0.736006	17.406583	1.185510	0.040581	0.8
24	-0.738677	18.406583	1.155426	0.030689	2.3
25	-0.738934	17.973108	1.168277	0.030478	0.8
26	-0.772227	17.907481	1.170248	0.048192	0.9
27	-0.732317	18.907481	1.140924	0.032829	0.8
28	-0.768228	19.907480	1.113033	0.027990	0.8
29	-0.725821	20.703769	1.091781	0.042910	0.8
30	-0.753104	21.677713	1.066866	0.046496	0.8
31	-0.711734	22.677318	1.042449	0.060813	0.8
32	-0.715745	23.677318	1.019116	0.034174	0.8
33	-0.735600	23.155003	1.031172	0.038413	0.9
34	-0.749709	24.155003	1.008335	0.047550	0.8
35	-0.735916	23.632814	1.020133	0.043716	1.0
36	-0.696901	24.628979	0.997861	0.024484	0.9
37	-0.744406	25.628974	0.976461	0.031405	0.8
38	-0.756329	25.106708	0.987522	0.042253	0.8
39	-0.752297	26.061945	0.967478	0.047605	0.8
40	-0.746839	26.307700	0.962452	0.047887	0.8
41	-0.733685	27.051649	0.947551	0.033607	0.8
42	-0.748093	28.051649	0.928234	0.030720	1.2
43	-0.754519	27.535544	0.938104	0.040886	0.9
44	-0.744413	28.535544	0.919166	0.047522	0.9
45	-0.754646	29.535541	0.900978	0.036986	0.8
46	-0.756723	29.016220	0.910332	0.055123	0.8
47	-0.775881	28.508529	0.919668	0.045594	0.8
48	-0.747427	29.508338	0.901463	0.040083	0.9
49	-0.741697	30.508338	0.883961	0.038270	0.9
50	-0.718803	29.986015	0.893017	0.039064	0.8
51	-0.766604	30.986014	0.875839	0.036213	0.8
52	-0.741894	30.464301	0.884718	0.034337	0.8
53	-0.697769	29.942389	0.893782	0.035719	0.8
54	-0.785547	30.809352	0.878826	0.070812	0.9
55	-0.773507	31.809352	0.862184	0.034135	0.8
56	-0.715577	31.287028	0.870797	0.056985	0.8
57	-0.737235	30.769476	0.879503	0.034950	0.8
58	-0.730217	31.769465	0.862836	0.028396	0.9
59	-0.713491	32.692431	0.848004	0.044754	0.8
60	-0.768670	33.692430	0.832499	0.037675	1.0
61	-0.736311	34.692430	0.817551	0.032045	0.9
62	-0.737265	35.149275	0.810899	0.042626	0.9
63	-0.747966	36.142001	0.796811	0.056603	0.9
64	-0.749030	37.140539	0.783126	0.050681	0.8
65	-0.743221	36.618225	0.790225	0.037821	0.8
66	-0.732565	37.555016	0.777583	0.048290	0.8
67	-0.715970	38.555015	0.764526	0.032524	0.8
68	-0.738840	38.043865	0.771145	0.048735	0.8
69	-0.763598	39.042338	0.758321	0.046824	0.8
70	-0.751673	40.042338	0.745898	0.059017	0.8
71	-0.700078	40.994264	0.734445	0.039054	0.8
72	-0.740320	40.471941	0.740686	0.050545	0.8
73	-0.720657	41.471941	0.728829	0.037801	0.9
74	-0.729773	42.471941	0.717347	0.046658	0.9
75	-0.719218	43.471778	0.706222	0.048805	0.8
76	-0.760254	44.471778	0.695435	0.034490	0.8
77	-0.748363	43.959091	0.700924	0.032018	0.9
78	-0.715908	43.507440	0.705832	0.050069	0.8
79	-0.755782	43.051762	0.710853	0.039633	0.9
80	-0.728358	42.529438	0.716697	0.030726	0.9
81	-0.718934	43.528743	0.705599	0.044500	0.9
82	-0.762453	43.007870	0.711340	0.034650	0.9
83	-0.764012	43.911407	0.701439	0.047565	0.9
84	-0.740721	44.854102	0.691398	0.058320	0.9
85	-0.738542	44.331860	0.696925	0.058199	0.8
86	-0.732950	45.313482	0.686608	0.052648	0.8
87	-0.753793	44.791158	0.692059	0.041892	0.9
88	-0.762270	44.298841	0.697277	0.054173	0.9
89	-0.738714	45.298841	0.686760	0.028795	0.9
90	-0.726609	44.776548	0.692213	0.040066	0.8
91	-0.720710	45.775554	0.681857	0.028832	0.9
92	-0.745988	46.580696	0.673734	0.038396	0.9
93	-0.725040	46.058707	0.678978	0.038651	0.8
94	-0.717817	45.877298	0.680820	0.022650	0.8
95	-0.716496	45.373146	0.685991	0.043296	0.9
96	-0.754853	46.127327	0.678284	0.038072	0.8
97	-0.731861	47.127327	0.668328	0.027463	0.8
98	-0.739527	48.127265	0.658660	0.041048	0.8
99	-0.778252	49.127223	0.649268	0.040802	1.1
100	-0.763109	48.604899	0.654141	0.038557	0.9
101	-0.787990	49.603609	0.644888	0.043872	1.0
102	-0.737871	50.603609	0.635881	0.052088	0.8
103	-0.753081	50.081286	0.640554	0.023595	0.9
104	-0.751407	50.360768	0.638045	0.038864	0.9
105	-0.730955	51.278083	0.629947	0.044097	0.8
106	-0.737820	52.278083	0.621351	0.047906	0.9
107	-0.733253	51.761284	0.625764	0.037868	0.8
108	-0.736410	52.761280	0.617280	0.043678	0.8
109	-0.737058	52.268324	0.621433	0.068775	0.9
110	-0.740503	53.268323	0.613066	0.051995	0.8
111	-0.751234	52.745999	0.617408	0.031646	0.9
112	-0.748046	52.704026	0.617760	0.054477	0.8
113	-0.756413	52.381937	0.620471	0.033498	0.9
114	-0.720917	51.859685	0.624919	0.041467	0.8
115	-0.736295	51.664207	0.626600	0.066088	0.9
116	-0.790390	51.141960	0.631136	0.058832	0.8
117	-0.701515	52.141960	0.622507	0.045130	0.9
118	-0.730271	53.141960	0.614111	0.052167	0.8
119	-0.699719	53.329816	0.612559	0.041647	0.9
120	-0.760004	52.807492	0.616894	0.030317	0.9
121	-0.740647	52.513708	0.619359	0.041879	0.8
122	-0.739770	51.992903	0.623778	0.041902	0.8
123	-0.745404	52.992895	0.615348	0.031829	0.9
124	-0.738602	52.470596	0.619723	0.056382	0.8
125	-0.726834	51.965660	0.624011	0.033475	0.8
126	-0.755839	51.497589	0.628040	0.035592	0.8
127	-0.719479	51.316324	0.629614	0.033523	0.8
128	-0.729778	50.797437	0.634164	0.035222	0.8
129	-0.754829	51.797437	0.625453	0.040353	0.8
130	-0.749642	52.797433	0.616978	0.037989	0.8
131	-0.747274	52.275109	0.621376	0.050955	0.9
132	-0.747082	51.752798	0.625837	0.036301	0.9
133	-0.759972	52.752795	0.617351	0.040445	0.8
134	-0.764063	52.230471	0.621755	0.020312	0.8
135	-0.750433	53.193642	0.613683	0.061398	0.8
136	-0.736038	54.193638	0.605522	0.024310	0.8
137	-0.717454	53.678455	0.609699	0.026862	1.0
138	-0.726856	53.459064	0.611496	0.036100	0.8
139	-0.746754	54.063740	0.606570	0.045356	0.9
140	-0.749831	53.586150	0.610454	0.041109	1.0
141	-0.730052	53.063855	0.614759	0.032745	0.8
142	-0.743787	54.062545	0.606579	0.045218	0.8
143	-0.754659	53.540222	0.610830	0.034858	0.8
144	-0.753658	54.540221	0.602744	0.031186	0.8
145	-0.734981	55.206655	0.597473	0.033936	0.9
146	-0.739315	55.722425	0.593456	0.030022	0.8
147	-0.731608	56.677654	0.586158	0.040307	0.8
148	-0.732459	57.347804	0.581144	0.035255	0.9
149	-0.753976	57.009932	0.583661	0.037439	0.8
150	-0.780632	58.007357	0.576293	0.034108	0.8
151	-0.765072	59.007357	0.569090	0.048793	0.8
152	-0.758975	59.904126	0.562782	0.044833	0.9
153	-0.752364	59.381802	0.566439	0.040315	0.8
154	-0.750189	60.047416	0.561787	0.046450	0.8
155	-0.713895	61.047271	0.554941	0.042835	1.9
156	-0.719543	60.538492	0.558404	0.040548	0.9
157	-0.765666	61.534982	0.551662	0.039677	1.0
158	-0.723859	62.534982	0.545058	0.039064	0.9
159	-0.723113	62.779585	0.543466	0.042541	0.8
160	-0.727787	62.257261	0.546876	0.037847	0.8
161	-0.759267	63.256669	0.540389	0.039405	0.8
162	-0.747093	64.254928	0.534062	0.040080	0.9
163	-0.769243	65.243997	0.527937	0.055524	0.8
164	-0.729954	66.243997	0.521886	0.034991	0.8
165	-0.758895	67.243994	0.515971	0.047314	0.9
166	-0.713428	66.721679	0.519044	0.048716	0.8
167	-0.744982	67.721679	0.513193	0.036237	0.8
168	-0.753095	67.199355	0.516233	0.050271	0.9
169	-0.743951	68.196393	0.510462	0.061416	0.8
170	-0.740362	67.674069	0.513469	0.051466	0.8
171	-0.753668	67.151746	0.516511	0.039185	0.8
172	-0.743565	68.151746	0.510718	0.042992	0.8
173	-0.787562	67.701906	0.513308	0.046121	0.8
174	-0.722114	68.557576	0.508404	0.045858	1.0
175	-0.722881	69.538774	0.502894	0.036412	0.8
176	-0.758235	70.538617	0.497401	0.032909	1.0
177	-0.758216	70.039739	0.500126	0.033279	0.9
178	-0.717240	69.538981	0.502893	0.032055	0.9
179	-0.706249	69.194397	0.504814	0.034744	1.6
180	-0.742562	70.185756	0.499326	0.034691	0.9
181	-0.765547	70.974837	0.495042	0.046133	0.9
182	-0.741021	70.452517	0.497869	0.032231	0.8
183	-0.723037	71.451629	0.492489	0.043353	0.8
184	-0.715975	70.929362	0.495287	0.066465	0.8
185	-0.777439	71.929346	0.489957	0.032168	0.8
186	-0.701975	72.929346	0.484741	0.044164	0.8
187	-0.733501	72.559778	0.486656	0.033565	0.8
188	-0.747483	73.559519	0.481510	0.049391	0.8
189	-0.739593	74.552508	0.476506	0.026866	0.8
190	-0.765952	75.551784	0.471575	0.048277	0.8
191	-0.761899	76.526678	0.466861	0.055583	0.8
192	-0.777888	77.518588	0.462160	0.039776	0.8
193	-0.712789	76.996264	0.464624	0.037984	0.8
194	-0.739199	77.977572	0.460017	0.034480	0.9
195	-0.757999	77.459017	0.462440	0.042599	0.9
196	-0.747940	78.459017	0.457790	0.059584	0.9
197	-0.731580	77.936693	0.460207	0.041148	0.9
198	-0.751980	77.432245	0.462566	0.040810	0.8
199	-0.732692	77.251018	0.463419	0.037648	0.9
200	-0.760327	76.728904	0.465895	0.044430	0.9
201	-0.755695	77.283945	0.463264	0.048407	0.9
202	-0.743009	76.761623	0.465739	0.024722	0.9
203	-0.725804	76.895356	0.465103	0.031267	1.0
204	-0.769762	76.828241	0.465422	0.053864	0.8
205	-0.740497	76.306716	0.467916	0.039891	0.9
206	-0.753398	77.306715	0.463156	0.031113	0.8
207	-0.775884	76.784399	0.465630	0.043995	0.8
208	-0.719343	77.784398	0.460917	0.057854	0.8
209	-0.710819	78.018519	0.459827	0.054025	0.8
210	-0.746351	79.005581	0.455288	0.033865	0.8
211	-0.730772	80.005581	0.450781	0.049756	0.8
212	-0.730441	81.005580	0.446362	0.034693	0.8
213	-0.738388	80.483621	0.448657	0.027936	0.8
214	-0.754074	81.455423	0.444402	0.038410	0.8
215	-0.723045	82.455269	0.440107	0.034802	0.8
216	-0.698804	82.305757	0.440744	0.037095	0.8
217	-0.757296	83.305746	0.436518	0.031273	0.8
218	-0.740161	84.094632	0.433242	0.026249	0.8
219	-0.727208	84.212651	0.432756	0.026242	0.8
220	-0.738131	83.925713	0.433939	0.029016	0.8
221	-0.725903	83.580476	0.435372	0.046484	0.8
222	-0.720363	83.067742	0.437517	0.050262	0.8
223	-0.747962	84.067742	0.433353	0.043330	0.8
224	-0.765049	85.067742	0.429267	0.035014	1.0
225	-0.747487	84.547581	0.431383	0.037637	0.8
226	-0.714347	85.547581	0.427334	0.059938	0.8
227	-0.741533	85.025257	0.429439	0.030009	0.8
228	-0.753732	86.023399	0.425434	0.038989	0.8
229	-0.751259	86.916180	0.421914	0.033915	0.8
230	-0.754110	86.393856	0.423966	0.036978	0.8
231	-0.737914	85.893571	0.425951	0.037060	0.8
232	-0.738440	86.893526	0.422003	0.043477	0.8
233	-0.740055	87.874971	0.418199	0.043330	0.8
234	-0.738099	87.352647	0.420215	0.035420	0.8
235	-0.747789	88.352609	0.416372	0.044208	0.8
236	-0.739770	89.350933	0.412605	0.051163	0.9
