1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.986539	627.201626	0.020050	1255.0
1	-0.998589	623.504937	0.011443	16.7
2	-1.122559	619.865785	0.016259	16.5
3	-0.774840	616.282728	0.009414	16.6
4	-0.351198	612.754375	0.005221	16.0
5	-0.875020	609.279381	0.012667	16.2
6	-0.741289	605.856447	0.007010	16.1
7	-0.944777	602.484317	0.009261	16.9
8	-1.080421	599.161779	0.013560	17.1
9	-0.493436	595.887656	0.006275	16.3
10	-0.718611	592.660813	0.010266	16.5
11	-0.650039	589.480151	0.008487	16.4
12	-1.078458	586.344606	0.011110	16.8
13	-0.925217	583.253145	0.016488	16.7
14	-0.514720	580.204771	0.008974	17.3
15	-0.386720	577.198517	0.013482	16.2
16	-0.665186	574.233444	0.008220	15.7
17	-0.829135	571.308645	0.019761	15.5
18	-0.934451	568.423237	0.019501	16.1
19	-0.374051	565.576365	0.008560	15.5
20	-1.065467	562.767201	0.017292	15.6
21	-0.696702	559.994938	0.008422	16.3
22	-0.482971	557.258797	0.009501	16.2
23	-0.457690	554.558018	0.006455	17.2
24	-0.544443	551.891865	0.006382	16.2
25	-0.592867	549.259621	0.008041	15.9
26	-0.831727	546.660592	0.009519	16.2
27	-0.857284	544.094102	0.011197	16.4
28	-0.627708	541.559494	0.009746	16.5
29	-0.322356	539.056129	0.006210	16.4
30	-1.025345	536.583387	0.013266	16.3
31	-0.988220	534.140663	0.011718	15.9
32	-0.970311	531.727370	0.017214	15.6
33	-0.010229	529.342935	0.002270	15.5
34	-0.505060	526.986802	0.007159	17.2
35	-1.040396	524.658430	0.018866	16.0
36	-0.765262	522.357290	0.021845	15.5
37	-0.920448	520.082868	0.017802	15.4
38	-0.503441	517.834665	0.010338	15.7
39	-0.894099	515.612193	0.009857	15.6
40	-0.984928	513.414976	0.019943	15.7
41	-0.493662	511.242551	0.006538	15.6
42	-0.629500	509.094468	0.009949	15.6
43	-0.912264	506.970285	0.014167	15.6
44	-0.913348	504.869574	0.012321	15.6
45	-0.732865	502.791916	0.016738	15.6
46	-0.612819	500.736903	0.009522	15.5
47	-1.078588	498.704137	0.021631	15.7
48	-0.608843	496.693228	0.007410	16.0
49	-0.566912	494.703798	0.008778	15.6
50	-1.062916	492.735476	0.018558	15.6
51	-0.524861	490.787900	0.006393	15.6
52	-1.001814	488.860718	0.010289	15.6
53	-0.899323	486.953585	0.011247	15.6
54	-0.375572	485.066164	0.004725	15.6
55	-1.101196	483.198126	0.016777	15.6
56	-0.464658	481.349149	0.005707	15.5
57	-0.545077	479.518920	0.005489	15.5
58	-0.881510	477.707132	0.014207	15.6
59	-0.458009	475.913485	0.005670	15.7
60	-1.095070	474.137684	0.025588	15.6
61	-0.639597	472.379445	0.007949	16.1
62	-0.703884	470.638485	0.014600	15.9
63	-0.833844	468.914531	0.011543	15.6
64	-0.805446	467.207315	0.014561	15.6
65	-0.749515	465.516573	0.012457	15.5
66	-0.896366	463.842050	0.016700	15.6
67	-0.636760	462.183494	0.009556	15.5
68	-0.997910	460.540658	0.014427	15.6
69	-0.644295	458.913303	0.008631	15.6
70	-0.949654	457.301192	0.017064	15.6
71	-1.047226	455.704096	0.015733	15.6
72	-0.426036	454.121787	0.009472	15.7
73	-0.067029	452.554045	0.001749	16.0
74	-0.562564	451.000653	0.005404	15.8
75	-0.350214	449.461399	0.005521	15.9
76	-0.532861	447.936075	0.006295	15.5
77	-0.848303	446.424477	0.012762	15.6
78	-0.868129	444.926406	0.015889	15.5
79	-0.676867	443.441666	0.008764	15.7
80	-0.664230	441.970065	0.008651	15.6
81	-0.590021	440.511415	0.006756	15.5
82	-0.380255	439.065533	0.004931	15.5
83	-0.956749	437.632238	0.021566	15.5
84	-0.806476	436.211351	0.011419	15.6
85	-0.609908	434.802701	0.012240	15.6
86	-0.805265	433.406117	0.013573	16.6
87	-0.809031	432.021430	0.017240	15.9
88	-0.811433	430.648479	0.010549	15.8
89	-0.777785	429.287101	0.011247	15.6
90	-0.671198	427.937140	0.015812	15.7
91	-0.983212	426.598440	0.021335	15.7
92	-0.977059	425.270849	0.019598	15.6
93	-1.131947	423.954220	0.019511	15.6
94	-0.701563	422.648404	0.006707	15.7
95	-0.569125	421.353259	0.010396	15.5
96	-0.463779	420.068643	0.011338	15.8
97	-0.022326	418.794419	0.000991	15.6
98	-0.525480	417.530451	0.007294	15.6
99	-0.859615	416.276604	0.016926	15.7
100	-0.470393	415.032748	0.007304	15.8
101	-0.534255	413.798754	0.010496	15.8
102	-0.528389	412.574495	0.009331	15.7
103	-0.555726	411.359849	0.007842	15.4
104	-1.110226	410.154691	0.021427	15.7
105	-0.980301	408.958904	0.016706	15.6
106	-1.030068	407.772368	0.023973	15.5
107	-0.379080	406.594968	0.004965	15.6
108	-0.448840	405.426590	0.008341	15.7
109	-1.062789	404.267122	0.017720	15.6
110	-0.843822	403.116456	0.020748	15.5
111	-0.756849	401.974481	0.021203	15.6
112	-0.809260	400.841093	0.016214	15.6
113	-1.060726	399.716187	0.017247	15.9
114	-0.680093	398.599660	0.007544	15.9
115	-1.080162	397.491411	0.022788	15.4
116	-0.830135	396.391342	0.009610	15.6
117	-0.840729	395.299353	0.013438	15.6
118	-0.917166	394.215350	0.015823	15.6
119	-0.935442	393.139238	0.012998	15.5
120	-1.009778	392.070924	0.020968	15.5
121	-0.696055	391.010316	0.008864	15.6
122	-0.397731	389.957325	0.007260	15.7
123	-0.616462	388.911862	0.007252	15.5
124	-0.434633	387.873839	0.005687	15.5
125	-1.040567	386.843173	0.018911	15.7
126	-0.626791	385.819777	0.006778	16.2
127	-0.365871	384.803569	0.012003	16.0
128	-0.699375	383.794468	0.009592	15.5
129	-0.781872	382.792393	0.010759	15.5
130	-0.954790	381.797264	0.020826	15.7
131	-0.923066	380.809005	0.012450	15.6
132	-0.756422	379.827537	0.012322	15.4
133	-0.842499	378.852786	0.018957	15.3
134	-0.381531	377.884678	0.004326	15.5
135	-1.063276	376.923138	0.018369	15.5
136	-0.993716	375.968095	0.019592	15.5
137	-0.558561	375.019479	0.005388	15.6
138	-0.466127	374.077218	0.006297	15.6
139	-0.824996	373.141244	0.011144	16.0
140	-0.636093	372.211489	0.005877	16.1
141	-0.756321	371.287887	0.008486	15.6
142	-0.817602	370.370370	0.012247	15.6
143	-1.096782	369.458876	0.023120	15.7
144	-0.145937	368.553338	0.006928	15.7
145	-0.501418	367.653696	0.005835	15.6
146	-0.923166	366.759885	0.016836	15.7
147	-0.911047	365.871846	0.015974	15.4
148	-0.330194	364.989518	0.004006	15.6
149	-0.819450	364.112841	0.016135	15.7
150	-0.554873	363.241757	0.008307	16.6
151	-1.036106	362.376208	0.021456	16.3
152	-0.571260	361.516137	0.006171	19.2
153	-0.548548	360.661488	0.007302	16.2
154	-0.136497	359.812206	0.005744	16.1
155	-0.767907	358.968236	0.017311	17.5
156	-0.679763	358.129524	0.008237	17.5
157	-0.651917	357.296018	0.012101	16.0
158	-0.832141	356.467665	0.011619	15.7
159	-0.617138	355.644414	0.007958	15.4
160	-0.868391	354.826213	0.017891	15.5
161	-0.767868	354.013012	0.017964	15.5
162	-0.878325	353.204763	0.023490	15.6
163	-0.610206	352.401415	0.008222	15.5
164	-0.664603	351.602922	0.006445	18.9
165	-0.518846	350.809235	0.011935	15.7
166	-0.697695	350.020308	0.008645	15.9
167	-1.103220	349.236095	0.021937	15.5
168	-0.247744	348.456550	0.009979	15.7
169	-0.816535	347.681627	0.012396	15.6
170	-0.875808	346.911283	0.016202	15.5
171	-0.624137	346.145474	0.008878	15.5
172	-0.864703	345.384157	0.015737	15.6
173	-0.675329	344.627288	0.007251	17.8
174	-0.577270	343.874826	0.007232	15.7
175	-0.804731	343.126729	0.014832	15.7
176	-0.545205	342.382957	0.012973	15.6
177	-0.791110	341.643469	0.012053	16.0
178	-1.027609	340.908224	0.020402	15.7
179	-0.677094	340.177184	0.021283	15.9
180	-0.576307	339.450309	0.014685	15.6
181	-0.530749	338.727561	0.006750	15.8
182	-0.584577	338.008902	0.010442	15.6
183	-0.909374	337.294295	0.013812	15.5
184	-0.366746	336.583703	0.005832	15.4
185	-0.539735	335.877089	0.007073	15.6
186	-1.032319	335.174416	0.022398	15.5
187	-0.510956	334.475651	0.006670	15.7
188	-0.897786	333.780756	0.012718	15.5
189	-0.574845	333.089698	0.011000	15.6
190	-1.062661	332.402443	0.017469	15.6
191	-1.109211	331.718955	0.020101	15.9
192	-0.893612	331.039203	0.019780	16.1
193	-1.101996	330.363153	0.012714	15.7
194	-0.984884	329.690771	0.018342	15.6
195	-0.322280	329.022027	0.004125	15.7
196	-0.829088	328.356888	0.010899	15.6
197	-1.096030	327.695322	0.015894	15.7
198	-0.660764	327.037299	0.008725	15.5
199	-0.467659	326.382787	0.006221	15.7
200	-0.816828	325.731758	0.010858	15.4
201	-0.779113	325.084179	0.009689	15.7
202	-1.091078	324.440023	0.011662	15.5
203	-0.513266	323.799258	0.007013	15.8
204	-0.516141	323.161858	0.006261	15.7
205	-0.912497	322.527792	0.016334	15.9
206	-0.904674	321.897034	0.022100	15.6
207	-1.133516	321.269554	0.015124	15.7
208	-0.849209	320.645325	0.008961	15.6
209	-0.613770	320.024320	0.008881	15.6
210	-0.932191	319.406512	0.021872	15.5
211	-0.608803	318.791875	0.008926	15.6
212	-0.773686	318.180381	0.010928	15.7
213	-0.537546	317.572005	0.007874	15.6
214	-0.447998	316.966721	0.012397	15.4
215	-0.416373	316.364504	0.010667	15.6
216	-0.350321	315.765329	0.008303	15.6
217	-0.698122	315.169170	0.011012	15.7
218	-0.980773	314.576003	0.016937	15.8
219	-0.493177	313.985804	0.008938	15.6
220	-0.561049	313.398548	0.007102	15.5
221	-0.893791	312.814213	0.010449	15.7
222	-0.508386	312.232773	0.009583	15.5
223	-0.665481	311.654207	0.011319	15.6
224	-0.899053	311.078491	0.022084	15.6
225	-1.171749	310.505602	0.019457	15.5
226	-0.333989	309.935518	0.006480	15.6
227	-0.607418	309.368217	0.007406	15.6
228	-0.002160	308.803676	0.002320	15.5
229	-0.625215	308.241874	0.008340	15.5
230	-0.595162	307.682789	0.008183	15.7
231	-0.592437	307.126400	0.009697	15.9
232	-0.465314	306.572687	0.007342	15.6
233	-0.611546	306.021627	0.008163	15.6
234	-0.788782	305.473201	0.012022	15.6
235	-0.575808	304.927388	0.008972	16.0
236	-0.519341	304.384168	0.006696	15.6
237	-0.791789	303.843521	0.012200	15.6
238	-0.792887	303.305427	0.016090	15.7
239	-0.387332	302.769867	0.005967	15.6
240	-0.505922	302.236821	0.006791	15.6
241	-0.797013	301.706270	0.012742	15.6
242	-0.877899	301.178196	0.009653	15.8
243	-0.689662	300.652580	0.008229	16.1
244	-0.516255	300.129402	0.008244	15.7
245	-0.635097	299.608645	0.008377	15.7
246	-0.805267	299.090291	0.009522	15.6
247	-0.461476	298.574321	0.006398	15.8
248	-0.442728	298.060718	0.007775	15.4
249	-0.620073	297.549465	0.008400	15.5
250	-0.972286	297.040543	0.022563	15.7
251	-0.927452	296.533936	0.017044	15.7
252	-0.439667	296.029626	0.010068	15.5
253	-0.558543	295.527597	0.007034	15.6
254	-0.887908	295.027832	0.013060	15.4
255	-0.520155	294.530315	0.015076	15.7
256	-0.444976	294.035028	0.006934	18.2
257	-1.155194	293.541956	0.022564	15.9
258	-0.094185	293.051083	0.003625	15.7
259	-0.583515	292.562393	0.008567	15.9
260	-0.538140	292.075870	0.008577	15.5
261	-0.918408	291.591498	0.012698	15.5
262	-1.120070	291.109263	0.027805	15.6
263	-0.726054	290.629149	0.016588	15.4
264	-0.533779	290.151140	0.007773	15.6
265	-0.019889	289.675222	0.001691	15.6
266	-0.902653	289.201380	0.014280	15.8
267	-0.598889	288.729600	0.006725	15.5
268	-0.510921	288.259866	0.008093	16.1
269	-0.999916	287.792165	0.012157	16.1
270	-1.125261	287.326481	0.016138	16.0
271	-0.722291	286.862802	0.006949	15.5
272	-0.577511	286.401113	0.014874	15.7
273	-0.712082	285.941400	0.013540	15.6
274	-1.025735	285.483649	0.012959	15.5
275	-1.125599	285.027847	0.022365	15.6
276	-0.838238	284.573981	0.019404	15.6
277	-0.966784	284.122037	0.013375	15.6
278	-0.768670	283.672002	0.008946	15.7
279	-0.808610	283.223863	0.013101	15.7
280	-1.070107	282.777607	0.024586	15.7
281	-0.229785	282.333221	0.008200	15.8
282	-0.331062	281.890692	0.004732	15.9
283	-0.508016	281.450008	0.007217	15.7
284	-0.790622	281.011157	0.008499	15.6
285	-1.057435	280.574125	0.013969	15.7
286	-0.866418	280.138901	0.008507	15.6
287	-0.754690	279.705473	0.008981	15.6
288	-0.857861	279.273829	0.017493	15.6
289	-1.105369	278.843956	0.023666	15.6
290	-0.605154	278.415844	0.006646	15.5
