1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.865133	0.000000	2.777090	0.037037	1190.2
1	-0.837733	0.000000	2.777090	0.024351	1.0
2	-0.880203	0.000000	2.777090	0.039321	0.9
3	-0.885155	0.000000	2.777090	0.036693	1.0
4	-0.865653	0.994463	2.651526	0.041395	0.8
5	-0.853872	0.374866	2.728387	0.042561	0.8
6	-0.857692	1.374866	2.606447	0.027139	0.8
7	-0.832904	0.755269	2.680679	0.034675	0.9
8	-0.844778	1.755269	2.562874	0.025018	0.8
9	-0.895772	1.135675	2.634611	0.038157	0.8
10	-0.835479	2.135646	2.520738	0.033516	0.8
11	-0.879368	3.135589	2.416303	0.033695	0.8
12	-0.876541	4.135589	2.320172	0.020137	0.8
13	-0.862517	4.720120	2.267443	0.023224	0.8
14	-0.868033	5.426737	2.206814	0.028635	0.8
15	-0.853085	6.426736	2.126352	0.019950	0.8
16	-0.878718	7.166701	2.070491	0.019156	0.8
17	-0.858336	8.118048	2.002844	0.026680	0.8
18	-0.871889	7.499794	2.046292	0.031692	0.8
19	-0.845658	8.494547	1.977277	0.024886	0.8
20	-0.848663	9.494546	1.912437	0.025100	0.9
21	-0.903469	10.494400	1.851723	0.021777	1.1
22	-0.895637	10.152108	1.872069	0.018818	0.9
23	-0.881345	10.811200	1.833282	0.018115	0.8
24	-0.882830	10.191688	1.869694	0.020759	0.8
25	-0.864294	11.038048	1.820301	0.026446	0.8
26	-0.880801	10.418609	1.856190	0.027987	0.8
27	-0.852694	11.267622	1.807350	0.019294	0.8
28	-0.865832	10.690185	1.840283	0.025021	0.9
29	-0.878966	11.664073	1.785414	0.033301	0.8
30	-0.854663	11.056026	1.819280	0.035816	0.8
31	-0.864930	12.056026	1.764244	0.021123	0.8
32	-0.859059	12.774253	1.726726	0.018997	0.8
33	-0.865804	12.164515	1.758473	0.022927	0.8
34	-0.827360	11.570008	1.790571	0.013928	0.8
35	-0.855980	11.025060	1.821039	0.018725	0.8
36	-0.847309	11.987525	1.767908	0.021713	0.8
37	-0.861636	12.986607	1.715938	0.025292	0.8
38	-0.860913	12.549167	1.738311	0.033790	0.8
39	-0.858846	11.994211	1.767549	0.024794	0.8
40	-0.868990	12.994211	1.715554	0.031647	0.8
41	-0.862409	12.374614	1.747403	0.034255	0.8
42	-0.856289	13.374614	1.696569	0.030436	0.9
43	-0.867614	12.755017	1.727711	0.040246	0.8
44	-0.848431	13.755017	1.677999	0.021736	0.8
45	-0.855706	14.755017	1.631069	0.030373	0.8
46	-0.855197	14.135421	1.659832	0.038766	0.8
47	-0.885328	15.135421	1.613898	0.028172	0.8
48	-0.843905	16.133689	1.570512	0.021746	0.8
49	-0.880977	15.514411	1.597147	0.033665	0.8
50	-0.853180	16.508430	1.554821	0.037528	0.8
51	-0.881679	17.508430	1.514445	0.025208	0.8
52	-0.823900	18.508430	1.476113	0.026953	0.8
53	-0.865612	19.508416	1.439674	0.026762	0.8
54	-0.866544	20.508405	1.404990	0.023533	0.8
55	-0.843649	19.925183	1.425012	0.038485	0.8
56	-0.865005	19.305810	1.446910	0.021377	0.8
57	-0.878049	20.305801	1.411882	0.016496	0.8
58	-0.867680	19.688129	1.433315	0.020993	0.9
59	-0.874673	19.076391	1.455193	0.028588	1.2
60	-0.840288	18.456915	1.478040	0.021416	0.8
61	-0.848815	19.456914	1.441506	0.028917	0.9
62	-0.862155	19.334549	1.445880	0.039798	0.9
63	-0.846310	20.294730	1.412260	0.034269	0.8
64	-0.883205	21.294730	1.378869	0.015749	0.8
65	-0.834869	20.675134	1.399369	0.030316	0.8
66	-0.841015	20.168091	1.416604	0.024252	0.8
67	-0.890607	20.747354	1.396948	0.020476	0.8
