1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-0.764581	56.847696	0.766403	0.042016	0.8
117	-0.822385	56.947633	0.765421	0.043494	0.8
118	-0.784918	57.947630	0.755726	0.033269	0.8
119	-0.788399	58.947586	0.746273	0.060059	0.8
120	-0.779338	59.149222	0.744396	0.039013	0.8
121	-0.762778	60.149222	0.735223	0.034630	0.8
122	-0.782726	59.681013	0.739489	0.029157	0.8
123	-0.771110	60.680620	0.730439	0.023712	0.8
124	-0.764274	61.678668	0.721622	0.024168	0.8
125	-0.792980	62.677063	0.713012	0.033201	0.8
126	-0.797579	63.677063	0.704592	0.045801	0.8
127	-0.749402	64.677063	0.696368	0.024662	1.3
128	-0.756450	65.676089	0.688341	0.023219	0.8
129	-0.807025	65.207907	0.692080	0.027386	0.9
130	-0.780072	65.271738	0.691568	0.037173	0.9
131	-0.791872	65.061449	0.693257	0.045478	0.8
132	-0.795224	66.061449	0.685295	0.018621	0.8
133	-0.820251	65.796251	0.687388	0.022774	0.9
134	-0.746264	65.578737	0.689115	0.017747	0.8
135	-0.778340	66.341272	0.683099	0.024291	0.8
136	-0.777389	66.042074	0.685447	0.037794	0.8
137	-0.781172	67.017000	0.677855	0.054924	0.8
138	-0.812305	68.017000	0.670240	0.031052	0.8
139	-0.744796	67.549818	0.673776	0.031462	0.8
140	-0.766639	68.549818	0.666252	0.047049	0.8
141	-0.801606	68.081608	0.669754	0.030866	0.8
142	-0.754630	69.081608	0.662319	0.021881	0.8
143	-0.770080	70.080145	0.655058	0.039940	0.8
144	-0.795402	71.037523	0.648244	0.022931	0.8
145	-0.746916	70.569313	0.651558	0.020741	0.8
146	-0.813592	70.105024	0.654879	0.038419	0.9
147	-0.750622	71.105023	0.647769	0.029475	0.9
148	-0.801607	71.516165	0.644890	0.027982	0.9
149	-0.806044	71.049662	0.648158	0.021244	0.8
150	-0.741082	72.049348	0.641195	0.045782	0.8
151	-0.769089	73.039386	0.634444	0.034727	0.8
152	-0.779437	72.571176	0.637619	0.027558	0.8
153	-0.769056	73.566219	0.630910	0.035544	0.9
154	-0.803458	74.566217	0.624308	0.028078	0.8
155	-0.820414	75.400325	0.618906	0.021207	0.8
156	-0.816692	76.086725	0.614530	0.034231	0.8
157	-0.798906	76.120404	0.614317	0.022383	0.8
158	-0.774613	75.652260	0.617293	0.034004	0.8
159	-0.799785	76.652260	0.610971	0.038337	0.8
160	-0.773446	77.652260	0.604778	0.033983	0.8
161	-0.767302	78.652260	0.598709	0.028619	0.8
162	-0.778022	79.652260	0.592761	0.030521	0.8
163	-0.774256	80.491858	0.587857	0.044015	0.8
164	-0.809687	81.491858	0.582122	0.033757	0.8
165	-0.764120	82.491858	0.576497	0.038151	0.8
166	-0.750883	83.491828	0.570980	0.034702	0.9
167	-0.779680	83.023652	0.573550	0.040183	0.9
168	-0.792509	82.566613	0.576081	0.027458	0.9
169	-0.794027	82.559722	0.576119	0.025432	0.9
170	-0.796778	83.200076	0.572579	0.018127	0.8
171	-0.760971	84.198740	0.567143	0.026050	0.8
172	-0.794025	84.340584	0.566379	0.020969	0.9
